Year,"Copyright © 2012 Center for International Comparisons of Production, Income and Prices (CIC), University of Pennsylvania. All rights reserved.","Copyright © 2012 Center for International Comparisons of Production, Income and Prices (CIC), University of Pennsylvania. All rights reserved.","Copyright © 2012 Center for International Comparisons of Production, Income and Prices (CIC), University of Pennsylvania. All rights reserved."
,S236A,S236B,S236
1950,,,31177.610934
1951,,,33989.782889
1952,,,35325.884345
1953,,,36441.981208
1954,,,35201.490449
1955,,,37167.924847
1956,,,37379.967033
1957,,,37775.88162
1958,,,37100.309661
1959,,,38800.268626
1960,,,38914.099257
1961,,,39316.16705
1962,,,41635.781446
1963,,,42815.971018
1964,,,44484.751315
1965,,,46608.741731
1966,,,48649.202708
1967,,,48806.870452
1968,,,50391.70281
1969,,,50719.148477
1970,,,49363.469097
1971,,,50134.943924
1972,,,51341.398961
1973,,,52847.062346
1974,,,51043.858418
1975,,,49940.265117
1976,,,51512.910043
1977,,,52481.276393
1978,,,53650.845718
1979,,,53800.856776
1980,,,52233.257783
1981,,,52684.775333
1982,,,51094.121041
1983,,,52974.707056
1984,,,56007.682184
1985,,,57376.457865
1986,,,58136.3018
1987,,,58926.011872
1988,,,60364.299991
1989,,,61382.792768
1990,,,61463.316337
1991,,,60882.979402
1992,,,62234.692636
1993,,,63741.171677
1994,,,65729.057485
1995,,,66861.079298
1996,,,68760.871841
1997,,,70923.092226
1998,,,73536.484912
1999,,,76335.333565
2000,,,77834.664073
2001,,,77731.602391
2002,,,78334.715037
2003,,,79429.916481
2004,,,81865.71848
2005,,,83400.809888
2006,,,84468.271585
2007,,,84946.448735
2008,,,83538.698572
2009,,,79676.72553
2010,,,82359.261546
