shift,XR,afc,ulc_prime,avc_prime,ac_prime,tc_prime,mc_prime,ulc,avc,ac,tc,mc,PL,PH
,0,70,,,,70,,,,,70,,-70,-70
Shift_1,2.84,24.648,35.21,38.21,62.86,178.52,38.21,4.40,7.40,32.05,91.0,7.40,-158.64,-71.14
Shift_1,7.36,9.511,13.59,16.59,26.10,192.08,3.00,3.40,6.40,15.91,117.1,5.77,-140.56,-65.56
Shift_1,13.32,5.255,7.51,10.51,15.76,209.96,3.00,2.82,5.82,11.07,147.5,5.10,-116.72,-54.22
Shift_1,20.48,3.418,4.88,7.88,11.30,231.44,3.00,2.44,5.44,8.86,181.4,4.75,-88.08,-38.08
Shift_1,28.60,2.448,3.50,6.50,8.94,255.8,3.00,2.19,5.19,7.63,218.3,4.54,-55.6,-18.1
Shift_1,37.44,1.870,2.67,5.67,7.54,282.32,3.00,2.00,5.00,6.87,257.3,4.41,-20.24,4.76
Shift_1,46.76,1.497,2.14,5.14,6.64,310.28,3.00,1.87,4.87,6.37,297.8,4.34,17.04,29.54
Shift_1,56.32,1.243,1.78,4.78,6.02,338.96,3.00,1.78,4.78,6.02,339.0,4.31,55.28,55.28
Shift_2,59.16,1.183,3.38,6.38,7.56,447.48,38.21,1.90,4.90,6.08,360.0,7.40,-33.36,54.14
Shift_2,63.68,1.099,3.14,6.14,7.24,461.04,3.00,1.96,4.96,6.06,386.0,5.77,-15.28,59.72
Shift_2,69.64,1.005,2.87,5.87,6.88,478.92,3.00,1.97,4.97,5.98,416.4,5.10,8.56,71.06
Shift_2,76.80,0.911,2.60,5.60,6.52,500.4,3.00,1.95,4.95,5.86,450.4,4.75,37.2,87.2
Shift_2,84.92,0.824,2.36,5.36,6.18,524.76,3.00,1.91,4.91,5.74,487.3,4.54,69.68,107.18
Shift_2,93.76,0.747,2.13,5.13,5.88,551.28,3.00,1.87,4.87,5.61,526.3,4.41,105.04,130.04
Shift_2,103.08,0.679,1.94,4.94,5.62,579.24,3.00,1.82,4.82,5.50,566.7,4.34,142.32,154.82
Shift_2,112.64,0.621,1.78,4.78,5.40,607.92,3.00,1.78,4.78,5.40,607.9,4.31,180.56,180.56
Shift_3,115.48,0.606,2.60,5.60,6.20,716.44,38.21,1.84,4.84,5.45,628.9,7.40,91.92,179.42
Shift_3,120.00,0.583,2.50,5.50,6.08,730,3.00,1.88,4.88,5.46,655.0,5.77,110,185
Shift_3,125.96,0.556,2.38,5.38,5.94,747.88,3.00,1.89,4.89,5.44,685.4,5.10,133.84,196.34
Shift_3,133.12,0.526,2.25,5.25,5.78,769.36,3.00,1.88,4.88,5.40,719.4,4.75,162.48,212.48
